,MSZoning,LotArea,Street,Has_Alley,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,HeatingQC,GrLivArea,BedroomAbvGr,GarageCars,SaleCondition,has_fence,pool,SalePrice
273,RL,9600,1,0,1Fam,1Story,average,average,1958,Gd,1632,3,1,Normal,1,0,139000
274,RL,8314,1,0,1Fam,1Story,average,good,1982,TA,816,2,1,Normal,0,0,124500
275,RL,7264,1,0,1Fam,1.5Fin,good,good,1925,Gd,1548,3,2,Normal,0,0,205000
276,RL,9196,1,0,1Fam,1Story,good,average,2003,Ex,1560,3,2,Normal,0,0,201000
277,RL,19138,1,0,1Fam,1Story,average,average,1951,Ex,864,2,2,Normal,0,0,141000
278,RL,14450,1,0,1Fam,1Story,good,average,2006,Ex,2121,3,3,Partial,0,0,415298
279,RL,10005,1,0,1Fam,2Story,good,average,1977,Ex,2022,4,2,Normal,0,0,192000
280,RL,11287,1,0,1Fam,2Story,good,average,1989,Gd,1982,3,2,Normal,0,0,228500
281,FV,7200,1,1,1Fam,1Story,average,average,2006,Gd,1262,2,2,Partial,0,0,185000
282,RL,5063,1,0,Twnhs,1Story,good,average,2007,Ex,1314,2,2,Normal,0,0,207500
283,RL,9612,1,0,1Fam,1Story,good,average,2008,Ex,1468,3,3,Partial,0,0,244600
284,RL,8012,1,0,TwnhsE,1Story,average,average,1992,Gd,1575,2,2,Normal,0,0,179200
285,FV,4251,1,1,TwnhsE,2Story,good,average,2006,Ex,1250,2,2,Partial,0,0,164700
286,RL,9786,1,0,1Fam,1.5Fin,average,good,1962,TA,1734,3,2,Normal,1,0,159000
287,RL,8125,1,0,1Fam,1Story,average,average,1971,TA,858,3,0,Normal,0,0,88000
288,RL,9819,1,0,1Fam,1Story,average,average,1967,TA,900,3,1,Normal,1,0,122000
289,RL,8730,1,0,1Fam,2Story,average,good,1915,Ex,1396,3,1,Normal,0,0,153575
290,RL,15611,1,0,1Fam,2Story,good,average,2006,Ex,1919,3,2,Partial,0,0,233230
291,RL,5687,1,1,2fmCon,2Story,average,average,1912,Ex,1716,6,0,Normal,0,0,135900
292,RL,11409,1,0,1Fam,1.5Fin,average,average,1949,Gd,1716,3,1,Normal,0,0,131000
293,RL,16659,1,0,1Fam,2Story,good,good,1977,Fa,2263,3,2,Normal,0,0,235000
294,RL,9600,1,0,1Fam,1Story,average,average,1953,TA,1644,3,2,Normal,0,0,167000
295,RL,7937,1,0,1Fam,SLvl,average,average,1984,TA,1003,3,2,Normal,1,0,142500
296,RM,13710,1,0,1Fam,1.5Fin,average,average,1950,TA,1558,4,1,Normal,1,0,152000
297,FV,7399,1,1,1Fam,2Story,good,average,1997,Ex,1950,3,2,Normal,0,0,239000
298,RL,11700,1,0,1Fam,2Story,average,average,1968,Gd,1743,3,2,Normal,0,0,175000
299,RL,14000,1,0,1Fam,1Story,average,good,1950,Ex,1152,3,1,Family,1,0,158500
300,RL,15750,1,0,2fmCon,1Story,average,average,1953,TA,1336,2,1,Normal,0,0,157000
301,RL,16226,1,0,1Fam,2Story,good,average,1998,Ex,2452,4,2,Normal,0,0,267000
302,RL,13704,1,0,1Fam,1Story,good,average,2001,Ex,1541,3,3,Normal,0,0,205000
303,RL,9800,1,0,1Fam,1Story,average,good,1972,TA,894,3,2,Abnorml,1,0,149900
304,RM,18386,1,0,1Fam,2.5Fin,good,good,1880,Ex,3493,3,3,Normal,0,0,295000
305,RL,10386,1,0,1Fam,1Story,good,average,2004,Ex,2000,3,3,Normal,0,0,305900
306,RL,13474,1,0,1Fam,2Story,good,average,1990,Gd,2243,4,3,Normal,0,0,225000
307,RM,7920,1,1,1Fam,1.5Fin,average,good,1920,TA,1406,3,0,Normal,1,0,89500
308,RL,12342,1,0,1Fam,1Story,average,average,1940,Ex,861,1,2,Normal,0,0,82500
309,RL,12378,1,0,1Fam,1Story,good,average,2003,Ex,1944,3,3,Normal,0,0,360000
310,RL,7685,1,0,1Fam,2Story,average,average,1993,Gd,1501,3,2,Normal,0,0,165600
311,RL,8000,1,0,1Fam,1Story,average,average,1948,Ex,972,2,1,Normal,0,0,132000
312,RM,7800,1,0,2fmCon,1.5Fin,average,good,1939,TA,1118,3,2,Normal,1,0,119900
313,RL,215245,1,0,1Fam,1Story,good,average,1965,TA,2036,3,2,Normal,0,0,375000
314,RM,9600,1,1,1Fam,2Story,good,good,1925,Ex,1641,3,2,Normal,0,0,178000
315,RL,7795,1,0,1Fam,2Story,good,average,2004,Ex,1432,3,2,Normal,0,0,188500
316,RL,13005,1,0,1Fam,2Story,good,good,1980,TA,2353,4,2,Normal,1,0,260000
317,FV,9000,1,0,1Fam,2Story,good,average,2006,Ex,1959,3,3,Normal,0,0,270000
318,RL,9900,1,0,1Fam,2Story,good,average,1993,Ex,2646,4,3,Normal,0,0,260000
319,RL,14115,1,0,1Fam,SLvl,good,average,1980,TA,1472,3,2,Normal,0,0,187500
320,RL,16259,1,0,1Fam,2Story,good,average,2006,Ex,2596,4,3,Partial,0,0,342643
321,RL,12099,1,0,1Fam,2Story,good,average,2004,Ex,2468,4,3,Normal,0,0,354000
322,RL,10380,1,0,1Fam,2Story,good,average,1986,Ex,2730,4,2,Normal,1,0,301000
323,RM,5820,1,0,1Fam,1Story,bad,good,1955,Ex,1163,3,1,Normal,0,0,126175
324,RL,11275,1,0,1Fam,SLvl,good,good,1967,Ex,2978,5,2,Normal,0,0,242000
325,RM,5000,1,0,1Fam,1.5Unf,average,average,1941,Po,803,2,2,Normal,0,0,87000
326,RL,10846,1,0,TwnhsE,1Story,good,average,1993,Ex,1719,1,2,Normal,0,0,324000
327,RL,11600,1,0,1Fam,1Story,average,average,1960,TA,1383,3,1,Normal,0,0,145250
328,RL,11888,1,1,1Fam,2.5Unf,average,average,1916,Gd,2134,5,2,Normal,0,0,214500
329,RM,6402,1,0,1Fam,2Story,average,average,1920,TA,1192,3,1,Normal,1,0,78000
330,RL,10624,1,0,Duplex,1Story,average,average,1964,TA,1728,6,1,Normal,0,0,119000
331,RL,8176,1,0,1Fam,1Story,average,average,1958,Fa,1056,3,1,Normal,0,0,139000
332,RL,10655,1,0,1Fam,1Story,good,average,2003,Ex,1629,3,3,Normal,0,0,284000
333,RM,8198,1,0,TwnhsE,1Story,good,average,2004,Ex,1358,2,2,Normal,0,0,207000
334,RL,9042,1,0,1Fam,2Story,average,average,1998,Gd,1638,3,2,Normal,0,0,192000
335,RL,164660,0,0,2fmCon,1.5Fin,average,average,1965,Ex,1786,3,2,Normal,0,0,228950
336,RL,14157,1,0,1Fam,1Story,good,average,2005,Ex,1922,3,3,Normal,0,0,377426
337,RL,9135,1,0,1Fam,1Story,good,average,2002,Ex,1536,3,2,Normal,0,0,214000
338,RL,14145,1,0,1Fam,1Story,good,good,1984,Ex,1621,3,2,Normal,0,0,202500
339,RL,12400,1,0,1Fam,1Story,average,good,1958,TA,1215,3,1,Normal,0,0,155000
340,RL,14191,1,0,1Fam,2Story,good,average,2002,Ex,1908,4,2,Normal,0,0,202900
341,RH,8400,1,0,1Fam,1Story,average,average,1950,Gd,841,2,1,Normal,0,0,82000
342,RL,8544,1,0,Duplex,1Story,bad,average,1949,Fa,1040,2,2,Normal,0,0,87500
343,RL,8849,1,0,TwnhsE,1Story,good,average,2005,Ex,1684,2,2,Normal,0,0,266000
344,RM,2592,1,0,TwnhsE,2Story,average,bad,1976,TA,1112,3,1,Normal,0,0,85000
345,RL,6435,1,0,1Fam,1.5Fin,average,average,1939,Gd,1577,3,1,Normal,0,0,140200
346,RL,12772,1,0,1Fam,1Story,average,good,1960,TA,958,2,1,Normal,0,0,151500
347,RL,17600,1,0,1Fam,1Story,average,average,1960,Ex,1478,3,2,Normal,0,0,157500
348,RL,2448,1,0,Twnhs,2Story,good,average,2003,Ex,1626,2,2,Normal,0,0,154000
349,RL,20431,1,0,1Fam,2Story,good,average,2005,Ex,2728,4,3,Partial,0,0,437154
350,RL,7820,1,0,TwnhsE,1Story,good,average,2007,Ex,1869,2,2,Partial,0,0,318061
351,RL,5271,1,0,1Fam,1Story,good,average,1986,Gd,1453,2,2,Abnorml,0,0,190000
352,RL,9084,1,0,1Fam,1.5Fin,average,average,1941,TA,1111,3,1,Normal,0,0,95000
353,RM,8520,1,0,1Fam,1Story,average,good,1928,Gd,720,2,2,Normal,0,0,105900
354,RL,8400,1,0,1Fam,1.5Fin,average,average,1940,Ex,1595,2,1,Normal,0,0,140000
355,RL,11249,1,0,1Fam,1Story,average,average,1995,Ex,1200,3,2,Normal,0,0,177500
356,RL,9248,1,0,1Fam,1Story,average,average,1992,Gd,1167,3,2,Normal,0,0,173000
357,RM,4224,1,0,TwnhsE,1Story,average,average,1976,TA,1142,3,2,Normal,1,0,134000
358,RL,6930,1,0,1Fam,SLvl,average,average,1958,Ex,1352,3,1,Abnorml,0,0,130000
359,RL,12011,1,0,1Fam,2Story,good,average,1998,Ex,1924,3,2,Normal,0,0,280000
360,RL,7540,1,0,1Fam,SFoyer,average,average,1978,Ex,912,2,2,Normal,1,0,156000
361,RL,9144,1,1,1Fam,1.5Fin,average,average,1940,Gd,1505,3,1,Normal,0,0,145000
362,RL,7301,1,0,1Fam,SFoyer,good,average,2003,Ex,1922,4,2,Normal,0,0,198500
363,RM,1680,1,0,Twnhs,2Story,average,good,1972,Gd,987,2,1,Normal,0,0,118000
364,RL,18800,1,0,1Fam,2Story,average,average,1976,TA,1574,3,2,Normal,0,0,190000
365,RM,10690,1,0,1Fam,2Story,average,good,1920,Gd,1344,3,1,Normal,0,0,147000
366,RL,9500,1,0,1Fam,1Story,average,average,1963,Gd,1394,3,2,Normal,0,0,159000
367,RL,9150,1,0,1Fam,SLvl,average,average,1962,Gd,1431,3,1,Normal,0,0,165000
368,RL,7800,1,0,1Fam,1Story,average,average,1954,Gd,1268,2,1,Normal,0,0,132000
369,RL,9830,1,0,1Fam,1Story,average,good,1959,Ex,1287,3,2,Normal,0,0,162000
370,RL,8121,1,0,1Fam,2Story,average,average,2000,Ex,1664,3,2,Normal,0,0,172400
371,RL,17120,1,0,1Fam,1.5Fin,average,average,1959,TA,1588,4,2,Normal,0,0,134432
372,RL,7175,1,0,TwnhsE,1Story,average,average,1984,TA,752,2,1,Normal,1,0,125000
373,RL,10634,1,0,1Fam,1Story,average,average,1953,TA,1319,3,1,Normal,1,0,123000
374,RL,8200,1,0,1Fam,2Story,good,average,2003,Ex,1928,4,2,Normal,0,0,219500
375,RL,10020,1,0,1Fam,1Story,bad,bad,1922,Gd,904,1,0,Normal,0,0,61000
376,RL,8846,1,0,1Fam,SFoyer,average,average,1996,Ex,914,2,2,Normal,0,0,148000
377,FV,11143,1,0,1Fam,2Story,good,average,2004,Ex,2466,4,2,Normal,0,0,340000
378,RL,11394,1,0,1Fam,1Story,good,bad,2010,Ex,1856,1,3,Partial,0,0,394432
379,RL,8123,1,0,1Fam,2Story,average,average,2000,Ex,1800,3,2,Normal,0,0,179000
380,RL,5000,1,1,1Fam,1.5Fin,average,average,1924,TA,1691,3,1,Normal,0,0,127000
381,FV,7200,1,1,1Fam,1Story,good,average,2006,Ex,1301,2,2,Partial,0,0,187750
382,RL,9245,1,0,1Fam,2Story,good,average,2006,Ex,1797,3,2,Normal,0,0,213500
383,RH,9000,1,0,1Fam,1.5Unf,average,bad,1928,TA,784,2,2,Normal,0,0,76000
384,RL,53107,1,0,1Fam,2Story,average,average,1992,Ex,1953,3,2,Normal,0,0,240000
385,RL,3182,1,0,TwnhsE,1Story,good,average,2004,Ex,1269,2,2,Normal,0,0,192000
386,RL,8410,1,0,1Fam,1.5Fin,average,bad,1910,TA,1184,5,0,AdjLand,0,0,81000
387,RL,7200,1,0,1Fam,SLvl,average,average,1976,Ex,1125,3,1,Abnorml,1,0,125000
388,RL,9382,1,0,1Fam,1Story,good,average,1999,Ex,1479,3,2,Normal,0,0,191000
389,RL,12474,1,0,1Fam,2Story,good,average,2007,Ex,2332,3,3,Partial,0,0,426000
390,RL,8405,1,1,1Fam,1.5Fin,average,good,1900,Ex,1367,4,1,Normal,1,0,119000
391,RL,12209,1,0,1Fam,2Story,average,average,2001,Ex,1961,3,2,Normal,0,0,215000
392,RL,8339,1,0,1Fam,1Story,average,good,1959,TA,882,3,1,Normal,1,0,106500
393,RL,7446,1,0,1Fam,1Story,average,average,1941,TA,788,2,0,Abnorml,1,0,100000
394,RL,10134,1,0,1Fam,1.5Fin,average,average,1940,Gd,1034,2,1,Normal,0,0,109000
395,RL,9571,1,0,1Fam,1Story,average,average,1956,TA,1144,3,1,Normal,0,0,129000
396,RL,7200,1,0,1Fam,1Story,average,average,1972,TA,894,2,2,Normal,0,0,123000
397,RL,7590,1,0,1Fam,2Story,average,average,1962,TA,1812,4,1,Normal,0,0,169500
398,RM,8967,1,0,1Fam,1Story,average,bad,1920,Gd,1077,2,1,Abnorml,0,0,67000
399,FV,8125,1,0,1Fam,2Story,good,average,2006,Ex,1550,2,2,Normal,0,0,241000
400,RL,14963,1,0,TwnhsE,1Story,good,average,1996,Ex,1288,1,2,Normal,0,0,245500
401,RL,8767,1,0,1Fam,1Story,good,average,2005,Ex,1310,3,2,Partial,0,0,164990
402,RL,10200,1,0,1Fam,1Story,average,good,1940,Ex,672,2,1,Normal,1,0,108000
403,RL,12090,1,0,1Fam,2Story,good,average,1998,Gd,2263,4,2,Abnorml,0,0,258000
404,RL,10364,1,0,1Fam,2Story,average,average,1995,Gd,1572,3,2,Normal,0,0,168000
405,RL,9991,1,0,1Fam,1Story,average,average,1976,Ex,1620,3,2,Normal,1,0,150000
406,RL,10480,1,0,1Fam,1.5Fin,average,average,1936,Ex,1639,3,1,Normal,0,0,115000
407,RL,15576,1,0,1Fam,2Story,average,good,1915,Ex,1680,4,1,Normal,0,0,177000
408,RL,14154,1,0,1Fam,2Story,good,average,2006,Ex,2172,3,3,Partial,0,0,280000
409,FV,10800,1,0,1Fam,2Story,good,average,2007,Ex,2078,3,3,Partial,0,0,339750
410,RL,9571,1,0,1Fam,1Story,average,bad,1958,TA,1276,3,1,Abnorml,0,0,60000
411,RL,34650,1,0,2fmCon,1Story,average,average,1955,TA,1056,3,2,Normal,0,0,145000
412,FV,4403,1,0,1Fam,1Story,good,average,2009,Ex,1478,2,2,Partial,0,0,222000
413,RM,8960,1,1,1Fam,1Story,average,average,1927,Gd,1028,2,2,Normal,0,0,115000
414,RL,11228,1,0,1Fam,2Story,good,average,1993,Ex,2097,3,3,Normal,0,0,228000
415,RL,8899,1,0,1Fam,1Story,good,average,2007,Ex,1340,3,2,Partial,0,0,181134
416,RL,7844,1,0,1Fam,2Story,average,good,1978,TA,1400,3,2,Normal,0,0,149500
417,RL,22420,1,0,1Fam,2Story,average,average,1918,TA,2624,4,3,Normal,0,0,239000
418,RL,8160,1,0,1Fam,1.5Fin,average,average,1940,Fa,1134,3,1,AdjLand,0,0,126000
419,RL,8450,1,0,1Fam,1Story,average,average,1968,Ex,1056,3,1,Normal,0,0,142000
420,RM,7060,1,0,Duplex,SFoyer,good,average,1997,Ex,1344,2,4,Alloca,0,0,206300
421,RL,16635,1,0,1Fam,1Story,average,good,1977,Gd,1602,3,2,Normal,0,0,215000
422,RL,21750,1,0,1Fam,1Story,average,average,1954,Ex,988,2,2,Normal,0,0,113000
423,RL,9200,1,0,1Fam,2Story,good,average,1998,Gd,2630,4,3,Normal,0,0,315000
424,RL,9000,1,0,1Fam,1Story,average,average,1956,Gd,1196,2,1,Normal,0,0,139000
425,RM,3378,1,1,1Fam,2Story,good,good,1946,Gd,1389,3,1,Normal,0,0,135000
426,RL,12800,1,0,1Fam,SLvl,good,average,1989,Gd,1644,2,2,Normal,0,0,275000
427,RL,8593,1,0,1Fam,1Story,average,average,1957,Ex,907,3,1,Normal,0,0,109008
428,RL,6762,1,0,1Fam,1Story,good,average,2007,Ex,1208,2,2,Partial,0,0,195400
429,RL,11457,1,0,1Fam,1Story,average,average,1988,TA,1412,3,2,Normal,0,0,175000
430,RM,1680,1,0,Twnhs,2Story,average,average,1971,TA,987,2,1,Abnorml,0,0,85400
431,RM,5586,1,0,1Fam,1.5Fin,average,good,1920,Gd,1198,4,0,Abnorml,1,0,79900
432,RM,1920,1,0,TwnhsE,2Story,average,average,1971,Ex,1365,2,2,Normal,0,0,122500
433,RL,10839,1,0,1Fam,2Story,average,average,1997,Ex,1604,3,2,Normal,0,0,181000
434,RM,1890,1,0,Twnhs,SFoyer,average,good,1972,Gd,630,1,0,Normal,0,0,81000
435,RL,10667,1,0,1Fam,2Story,good,average,1996,Ex,1661,3,2,Normal,0,0,212000
436,RM,4400,1,0,1Fam,1.5Fin,average,good,1920,TA,1118,2,2,Normal,0,0,116000
437,RM,6000,1,0,1Fam,1.5Unf,average,good,1926,Gd,904,2,1,Normal,0,0,119000
438,RL,4280,1,0,1Fam,1Story,average,average,1913,TA,694,2,1,Normal,1,0,90350
439,RL,12354,1,1,1Fam,1.5Fin,average,good,1920,Gd,1196,3,2,Normal,1,0,110000
440,RL,15431,1,0,1Fam,1Story,good,average,2008,Ex,2402,2,3,Normal,0,0,555000
441,RL,12108,1,0,Duplex,1Story,average,average,1955,TA,1440,4,0,Normal,0,0,118000
442,RM,6240,1,0,1Fam,1.5Fin,average,good,1930,TA,1573,3,2,Normal,0,0,162900
443,RL,3922,1,0,TwnhsE,1Story,good,average,2006,Ex,1258,2,3,Partial,0,0,172500
444,RL,8750,1,0,1Fam,2Story,good,average,1994,Ex,1908,4,2,Normal,0,0,210000
445,RL,9855,1,0,1Fam,1Story,average,average,1956,Fa,1689,3,2,Normal,1,0,127500
446,RL,16492,1,0,1Fam,1Story,average,average,1966,Ex,1888,2,2,Normal,0,0,190000
447,RL,11214,1,0,1Fam,2Story,good,average,1998,Gd,1886,4,2,Normal,0,0,199900
448,RM,8600,1,0,1Fam,1.5Fin,average,average,1937,TA,1376,3,1,Normal,0,0,119500
449,RM,6000,1,0,1Fam,1.5Fin,bad,good,1948,Ex,1183,2,1,Normal,0,0,120000
450,RM,5684,1,0,1Fam,1Story,average,good,1930,Ex,813,2,1,Normal,0,0,110000
451,RL,70761,1,0,1Fam,1Story,good,average,1975,TA,1533,2,2,Normal,0,0,280000
452,RL,9303,1,0,1Fam,2Story,average,average,1996,Ex,1756,3,2,Normal,0,0,204000
453,FV,9000,1,0,1Fam,2Story,good,average,2008,Ex,1590,3,2,Normal,0,0,210000
454,RL,9297,1,0,Duplex,1Story,average,average,1976,TA,1728,4,2,Family,0,0,188000
455,RL,9600,1,0,1Fam,1Story,good,average,1973,Fa,1242,3,2,Normal,0,0,175500
456,RM,4571,1,1,1Fam,2Story,average,average,1916,Fa,1344,4,3,Abnorml,0,0,98000
457,RL,53227,1,0,1Fam,1Story,average,average,1954,Ex,1663,2,2,Normal,0,0,256000
458,RM,5100,1,1,1Fam,2Story,good,good,1925,Fa,1666,3,1,Normal,1,0,161000
459,RL,7015,1,0,1Fam,1.5Fin,average,average,1950,TA,1203,3,1,Normal,0,0,110000
460,FV,8004,1,0,1Fam,2Story,good,average,2009,Ex,1935,3,2,Partial,0,0,263435
461,RL,7200,1,0,1Fam,2Story,good,good,1936,Ex,1135,3,2,Normal,1,0,155000
462,RL,8281,1,0,1Fam,1Story,average,average,1965,Gd,864,3,1,Normal,1,0,62383
463,RL,11988,1,0,1Fam,2Story,average,good,1934,Fa,1660,3,1,Normal,0,0,188700
464,RL,8430,1,0,1Fam,1Story,average,average,1978,TA,1040,3,0,Normal,0,0,124000
465,RM,3072,1,0,TwnhsE,1Story,good,average,2004,Ex,1414,2,2,Normal,0,0,178740
466,RL,10628,1,0,1Fam,1Story,good,average,1970,TA,1277,2,2,Normal,1,0,167000
467,RL,9480,1,0,1Fam,2Story,average,good,1942,Ex,1644,3,1,Normal,0,0,146500
468,RL,11428,1,0,1Fam,1Story,good,average,2006,Ex,1634,3,3,Normal,0,0,250000
469,RL,9291,1,0,1Fam,2Story,average,average,1993,Ex,1710,3,2,Normal,0,0,187000
470,RL,6820,1,0,TwnhsE,1Story,good,average,1985,TA,1502,1,2,Normal,0,0,212000
471,RL,11952,1,0,1Fam,2Story,good,average,1977,TA,1969,3,2,Normal,0,0,190000
472,RM,3675,1,0,TwnhsE,SLvl,average,average,2005,Ex,1072,2,2,Normal,0,0,148000
473,RL,14977,1,0,1Fam,1Story,good,average,2006,Ex,1976,2,3,Partial,0,0,440000
474,RL,5330,1,0,TwnhsE,1Story,good,average,2000,Ex,1652,2,2,Normal,0,0,251000
475,RL,8480,1,0,1Fam,1Story,average,average,1963,TA,970,2,2,Normal,0,0,132500
476,RL,13125,1,0,1Fam,1Story,average,average,1997,Ex,1493,3,2,Normal,0,0,208900
477,RL,13693,1,0,1Fam,2Story,good,average,2006,Ex,2643,3,3,Normal,0,0,380000
478,RL,10637,1,0,1Fam,1Story,good,average,2007,Ex,1718,3,3,Normal,0,0,297000
479,RM,5925,1,0,1Fam,1Story,average,good,1937,TA,1131,2,2,Alloca,1,0,89471
480,RL,16033,1,0,1Fam,1Story,good,average,2004,Ex,1850,3,3,Normal,0,0,326000
481,RL,11846,1,0,1Fam,1Story,good,average,2003,Ex,1792,2,3,Normal,0,0,374000
482,RM,2500,1,1,1Fam,2Story,good,good,1915,Ex,1826,4,1,Normal,0,0,155000
483,RM,4500,1,0,Twnhs,1Story,average,average,1998,Ex,1216,2,2,Normal,0,0,164000
484,RL,7758,1,0,1Fam,1Story,average,good,1962,Gd,999,3,1,Normal,0,0,132500
485,RL,9600,1,0,1Fam,1Story,average,good,1950,Gd,1113,3,1,Normal,0,0,147000
486,RL,10289,1,0,1Fam,1Story,average,good,1965,TA,1073,3,2,Normal,0,0,156000
487,RL,12243,1,0,1Fam,1Story,average,average,1971,Gd,1484,3,2,Normal,0,0,175000
488,RL,10800,1,0,2fmCon,1.5Fin,average,average,1900,TA,2414,3,2,Normal,0,0,160000
489,RM,1526,1,0,Twnhs,SFoyer,average,good,1970,TA,630,1,1,Normal,0,0,86000
490,RM,2665,1,0,TwnhsE,2Story,average,average,1976,TA,1304,3,1,Normal,0,0,115000
491,RL,9490,1,0,1Fam,1.5Fin,average,good,1941,TA,1578,3,1,Normal,1,0,133000
492,RL,15578,1,0,1Fam,2Story,average,average,2006,Gd,1456,3,2,Partial,0,0,172785
493,RL,7931,1,0,1Fam,1Story,average,average,1960,TA,1269,3,1,Normal,0,0,155000
494,RM,5784,1,0,1Fam,1Story,average,good,1938,Gd,886,2,1,Normal,0,0,91300
495,C (all),7879,1,0,1Fam,1Story,average,average,1920,TA,720,2,0,Abnorml,1,0,34900
496,RL,12692,1,0,1Fam,1Story,good,average,1992,Ex,3228,4,2,Normal,0,0,430000
497,RL,9120,1,1,1Fam,1.5Fin,good,average,1925,Ex,1820,4,1,Normal,1,0,184000
498,RL,7800,1,0,1Fam,1Story,average,good,1967,Ex,899,3,1,Normal,1,0,130000
499,RL,7535,1,0,1Fam,1Story,average,good,1958,Fa,912,2,1,Normal,1,0,120000
500,RM,1890,1,0,Twnhs,2Story,average,average,1973,TA,1218,3,1,Normal,0,0,113000
501,FV,9803,1,0,1Fam,2Story,good,average,2005,Gd,1768,3,2,Normal,0,0,226700
502,RL,9170,1,0,1Fam,1Story,average,good,1965,Ex,1214,2,2,Normal,1,0,140000
503,RL,15602,1,0,1Fam,1Story,good,good,1959,TA,1801,1,2,Normal,1,0,289000
504,RL,2308,1,0,TwnhsE,2Story,average,average,1974,TA,1322,3,2,Normal,0,0,147000
505,RM,7596,1,1,Duplex,2Story,average,average,1952,Gd,1960,4,2,Normal,0,0,124500
506,RL,9554,1,0,1Fam,2Story,good,average,1993,Ex,1911,3,2,Normal,0,0,215000
507,FV,7862,1,0,1Fam,1Story,average,average,2009,Ex,1218,2,2,Partial,0,0,208300
508,RM,9600,1,0,1Fam,2Story,good,good,1928,Ex,1378,3,2,Normal,0,0,161000
509,RL,9600,1,0,1Fam,1Story,average,average,1959,Ex,1041,3,1,Normal,1,0,124500
510,RL,14559,1,0,1Fam,1Story,average,good,1951,Ex,1363,2,1,Normal,0,0,164900
511,RL,6792,1,0,TwnhsE,1Story,good,average,2005,Ex,1368,2,2,Partial,0,0,202665
512,RL,9100,1,0,1Fam,1Story,average,average,1958,TA,864,3,2,Normal,0,0,129900
513,RL,9187,1,0,1Fam,1Story,average,average,1983,TA,1080,3,2,Normal,0,0,134000
514,RL,10594,1,0,1Fam,1.5Unf,average,average,1926,Fa,789,2,1,Normal,1,0,96500
515,RL,12220,1,0,1Fam,1Story,good,average,2009,Ex,2020,3,3,Partial,0,0,402861
516,RL,10448,1,0,1Fam,SLvl,average,average,1972,TA,2119,3,2,Abnorml,1,0,158000
517,RL,10208,1,0,1Fam,2Story,good,average,1996,Ex,2344,3,3,Normal,0,0,265000
518,RL,9531,1,0,1Fam,2Story,average,average,1998,Ex,1796,3,2,Normal,1,0,211000
519,RL,10918,1,0,1Fam,2Story,good,good,1926,Ex,2080,3,1,Normal,1,0,234000
520,RL,10800,1,1,2fmCon,2Story,average,good,1900,TA,1294,3,0,Normal,0,0,106250
521,RL,11988,1,0,1Fam,1Story,average,average,1957,Ex,1244,3,1,Normal,0,0,150000
522,RM,5000,1,0,1Fam,1.5Fin,average,good,1947,Ex,1664,3,2,Normal,0,0,159000
523,RL,40094,1,0,1Fam,2Story,good,average,2007,Ex,4676,3,3,Partial,0,0,184750
524,RL,11787,1,0,1Fam,2Story,good,average,1996,Ex,2398,3,3,Normal,0,0,315750
525,FV,7500,1,1,1Fam,1Story,good,average,2005,Ex,1266,3,2,Normal,0,0,176000
526,RL,13300,1,0,1Fam,1Story,average,good,1956,TA,928,2,1,Normal,0,0,132000
527,RL,14948,1,0,1Fam,2Story,good,average,2008,Ex,2713,3,3,Partial,0,0,446261
528,RL,9098,1,0,1Fam,1Story,average,good,1920,Ex,605,2,0,Normal,0,0,86000
529,RL,32668,1,0,1Fam,1Story,average,bad,1957,TA,2515,4,2,Alloca,0,0,200624
530,RL,10200,1,0,1Fam,SLvl,average,average,1988,Ex,1509,3,2,Abnorml,0,0,175000
531,RM,6155,1,0,1Fam,2Story,average,good,1920,Ex,1362,3,2,Normal,0,0,128000
532,RL,7200,1,0,1Fam,1Story,average,good,1955,Ex,827,2,1,Normal,0,0,107500
533,RL,5000,1,0,1Fam,1Story,bad,bad,1946,Fa,334,1,0,Normal,0,0,39300
534,RL,9056,1,0,1Fam,2Story,good,average,2004,Ex,1414,3,2,Normal,0,0,178000
535,RL,7000,1,0,2fmCon,2Story,average,good,1910,TA,1347,3,0,Normal,0,0,107500
536,RL,8924,1,0,1Fam,2Story,good,average,1998,Ex,1724,3,2,Normal,0,0,188000
537,RL,12735,1,0,1Fam,1Story,average,average,1972,TA,864,3,2,Normal,1,0,111250
538,RL,11553,1,0,1Fam,1Story,average,average,1968,TA,1159,3,1,Normal,0,0,158000
539,RL,11423,1,0,1Fam,1Story,good,average,2001,Ex,1601,3,2,Normal,1,0,272000
540,RL,14601,1,0,1Fam,1Story,good,average,2006,Ex,1838,2,3,Normal,0,0,315000
541,RL,11000,1,0,1Fam,2Story,good,average,2000,Ex,2285,4,3,Normal,0,0,248000
542,RL,10140,1,0,1Fam,1Story,good,average,1998,Ex,1680,3,2,Normal,0,0,213250
543,RH,4058,1,0,TwnhsE,SFoyer,good,average,1998,Ex,767,1,1,Normal,0,0,133000
544,RL,17104,1,0,1Fam,2Story,good,average,2006,Ex,1496,3,2,Partial,0,0,179665
545,RL,13837,1,0,1Fam,1.5Fin,good,average,1988,Gd,2183,4,3,Normal,0,0,229000
546,RL,8737,1,0,1Fam,1.5Fin,average,good,1923,Ex,1635,3,2,Normal,0,0,210000
547,RL,7244,1,0,1Fam,SFoyer,average,good,1970,Ex,768,2,2,Normal,0,0,129500
